DATE,CUUR0000SETA01
2019-01-01,147.059
2019-02-01,147.226
2019-03-01,147.788
2019-04-01,147.840
2019-05-01,147.659
2019-06-01,147.417
2019-07-01,147.035
2019-08-01,146.456
2019-09-01,145.854
2019-10-01,145.726
2019-11-01,145.728
2019-12-01,146.220
2020-01-01,147.253
2020-02-01,147.803
2020-03-01,147.124
2020-04-01,147.007
2020-05-01,147.222
2020-06-01,147.108
2020-07-01,147.803
2020-08-01,147.412
2020-09-01,147.361
2020-10-01,147.956
2020-11-01,148.063
2020-12-01,149.091
2021-01-01,149.377
2021-02-01,149.515
2021-03-01,149.321
2021-04-01,149.892
2021-05-01,152.143
2021-06-01,154.847
2021-07-01,157.203
2021-08-01,158.652
2021-09-01,160.244
2021-10-01,162.527
2021-11-01,164.511
2021-12-01,166.653
2022-01-01,167.582
2022-02-01,168.027
2022-03-01,168.056
2022-04-01,169.699
2022-05-01,171.350
2022-06-01,172.546
2022-07-01,173.618
2022-08-01,174.598
2022-09-01,175.312
2022-10-01,176.157
